DATA_ELEMENT,QUERY,NEEDLE_TEXT
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.","Per APN documentation upon presentation, patient ."
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Patient not willing to CBC at septic shock presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",nurse notes: power of attorney at 08:00.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Nursing note: patient would not allow blood work at 08:00.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",healthcare proxy does not want lactic acid - will not consent.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Nursing note: wife refused medications in the ED.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",son .
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",RN documents patient refusing IV fluids at septic shock presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",MD note: patient declined to consent for labs upon presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",wife .
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Would not allow IV to be started at septic shock presentation.
"Administrative Contraindication to Care, Severe Sepsis","In this note, is there documentation that the patient or authorized patient advocate refused blood draw, IV fluid administration, or IV antibiotic administration within the specified time frame? Answer Y only if clearly documented by a physician/APN/PA or nurse. Acceptable documentation includes: patient refused blood draws, IV fluids, or IV antibiotics; patient left AMA (against medical advice); patient refusing to stay for continued care; or general documentation of refusal of care that could impact these elements (e.g., pulling out IV). Do not count refusal of specific blood tests that don't impact SEP-1 requirements (like HIV test). Authorized advocates include family members, medical power of attorney, legal guardian, or healthcare proxy. Documentation must be within six hours after Severe Sepsis Presentation Time.",Declined antibiotics during initial assessment - will treat symptomatically.
